,Returns,Standard Deviation,Sharpe Ratio
12639,0.28972817522943445,0.18293424749378734,1.3880844003146986
12640,0.28960348097512734,0.18291915909172088,1.3875172083415441
12641,0.2894629073572876,0.18290250255670518,1.3868749952103285
12642,0.2893048152155717,0.18288421775811975,1.386149216827741
12643,0.28912750417387884,0.18286427392864518,1.3853307632562983
12644,0.2889292428877711,0.1828426797905855,1.3844100468101137
12645,0.2887083092688248,0.18281949486322674,1.3833771363280147
12646,0.28846304163629466,0.18279484149634692,1.3822219465714192
6942,0.27854280635542317,0.17569312504528617,1.3816295105050609
6943,0.2785168059041043,0.17572668243606082,1.3812177100220295
12647,0.2881919012110147,0.18276891689159724,1.3809344909600345
